Duracion de la Suscripcion (Meses),Satisfaccion del Cliente (1-10),Tiempo de Visualizacion Diario (Horas),Indice de Compromiso (1-10),Dispositivo mas Usado,Genero Preferido,Region,Historial de Pago (A Tiempo/Retrasado),Plan de Suscripcion,Estado de Cancelacion (Sí/No),Consultas al Soporte,Edad,Ingresos Mensuales ($),Numero de Perfiles Creados
56,10,4.27,9,Smart TV,Sci-fi,Africa,On-Time,Premium,No,0,38,5138,2
17,1,3.58,6,Laptop,Comedy,Africa,On-Time,Basic,No,7,37,2009,2
18,9,2.74,8,Laptop,Sci-fi,North America,Delayed,Premium,Yes,10,59,9561,1
24,4,2.73,2,Mobile,Action,Europe,On-Time,Basic,No,6,49,2535,4
6,6,3.62,4,Tablet,Comedy,Oceania,On-Time,Premium,No,10,50,9566,3
54,7,3.93,9,Smart TV,Sci-fi,Europe,Delayed,Basic,No,10,19,2680,4
18,7,2.6,9,Mobile,Comedy,Oceania,On-Time,Basic,No,1,63,3761,3
14,7,1.71,9,Tablet,Drama,Oceania,On-Time,Premium,No,5,39,7978,2
59,9,1.29,10,Mobile,Romance,Europe,Delayed,Basic,No,0,45,4845,5
57,4,1.18,4,Mobile,Comedy,Oceania,On-Time,Standard,No,8,57,7612,4
9,2,2.0,5,Tablet,Comedy,Asia,On-Time,Basic,Yes,4,53,3448,1
21,6,3.55,1,Laptop,Comedy,Europe,On-Time,Standard,No,7,47,8100,4
28,5,5.99,4,Tablet,Sci-fi,Asia,On-Time,Basic,No,1,59,7363,5
27,10,3.36,8,Laptop,Sci-fi,Oceania,On-Time,Standard,No,5,58,1289,4
10,7,5.69,7,Smart TV,Action,Africa,On-Time,Standard,No,1,59,1745,5
32,7,1.34,9,Smart TV,Sci-fi,South America,On-Time,Basic,No,2,58,3649,5
25,8,5.0,7,Laptop,Comedy,South America,On-Time,Basic,No,4,20,5304,2
15,7,5.98,10,Smart TV,Sci-fi,Europe,On-Time,Premium,No,5,34,1660,4
42,10,5.13,9,Mobile,Action,North America,Delayed,Basic,No,10,30,5901,2
43,9,2.06,9,Mobile,Drama,North America,Delayed,Basic,No,0,23,8749,3
39,3,1.52,6,Laptop,Action,Africa,On-Time,Standard,No,4,54,2709,2
16,7,5.62,9,Laptop,Sci-fi,South America,On-Time,Basic,No,4,55,8849,4
43,10,2.48,7,Smart TV,Romance,Oceania,On-Time,Standard,No,0,29,8293,2
38,9,4.09,10,Mobile,Comedy,Oceania,Delayed,Basic,No,0,24,7461,3
30,1,2.11,2,Smart TV,Action,Africa,On-Time,Standard,No,3,38,2114,1
7,7,3.76,8,Mobile,Comedy,Africa,On-Time,Basic,No,8,68,9363,1
40,9,4.78,8,Tablet,Comedy,North America,On-Time,Standard,No,0,28,6709,3
55,8,4.51,8,Laptop,Drama,North America,On-Time,Standard,No,3,40,7307,2
48,7,5.73,9,Smart TV,Sci-fi,North America,On-Time,Standard,No,4,68,6565,3
5,7,4.55,10,Laptop,Sci-fi,Asia,On-Time,Standard,No,0,48,4313,2
47,7,1.09,10,Mobile,Action,South America,Delayed,Standard,No,3,56,6371,4
10,9,4.32,9,Mobile,Action,Europe,On-Time,Standard,No,4,33,9928,3
50,7,3.71,10,Tablet,Comedy,Europe,Delayed,Premium,No,6,51,3600,3
43,9,1.38,10,Smart TV,Drama,Europe,On-Time,Basic,No,4,30,8169,5
16,6,3.83,4,Laptop,Romance,South America,On-Time,Basic,No,9,67,9613,3
28,9,4.84,8,Mobile,Sci-fi,South America,On-Time,Premium,No,5,47,1294,3
2,1,3.74,5,Mobile,Romance,Europe,On-Time,Standard,No,4,65,5222,1
15,9,4.89,8,Smart TV,Action,Africa,On-Time,Basic,No,9,41,2418,1
22,3,5.75,6,Tablet,Action,Europe,On-Time,Premium,No,1,43,2930,1
32,7,4.51,8,Tablet,Romance,Europe,On-Time,Standard,No,1,25,5156,4
6,5,4.0,2,Mobile,Drama,North America,On-Time,Basic,No,2,49,5608,3
12,10,3.51,8,Smart TV,Sci-fi,Africa,On-Time,Premium,No,5,20,6988,5
20,6,5.7,4,Laptop,Action,Europe,On-Time,Basic,Yes,0,56,5810,1
2,10,1.32,7,Tablet,Drama,Asia,On-Time,Standard,No,9,70,2264,1
14,9,2.46,9,Tablet,Comedy,North America,On-Time,Premium,No,7,29,6657,2
58,2,3.67,4,Mobile,Comedy,Oceania,On-Time,Premium,No,9,60,3940,3
9,2,4.65,4,Mobile,Comedy,Africa,On-Time,Basic,Yes,5,47,8316,4
26,8,2.89,9,Mobile,Comedy,Africa,On-Time,Basic,No,0,63,7431,4
13,10,1.4,10,Smart TV,Action,North America,On-Time,Premium,No,4,46,1963,5
29,3,2.47,2,Tablet,Drama,Asia,Delayed,Basic,No,10,60,8900,3
33,8,4.02,10,Tablet,Comedy,Europe,On-Time,Standard,No,8,23,7019,1
44,10,2.01,8,Tablet,Comedy,North America,On-Time,Standard,No,7,48,6620,5
8,8,1.64,9,Mobile,Romance,North America,On-Time,Standard,No,6,64,5845,2
35,10,3.96,10,Laptop,Drama,Oceania,On-Time,Standard,No,6,62,9332,1
47,1,4.24,2,Smart TV,Comedy,North America,On-Time,Premium,No,2,27,4727,3
5,8,6.0,8,Mobile,Sci-fi,North America,On-Time,Standard,No,2,66,6741,2
45,10,1.88,10,Mobile,Action,Oceania,On-Time,Basic,No,8,18,1871,1
59,8,3.29,7,Mobile,Comedy,North America,Delayed,Standard,No,5,43,1154,4
27,10,4.19,8,Mobile,Drama,Africa,On-Time,Basic,No,3,21,3131,1
41,3,2.49,6,Smart TV,Sci-fi,North America,On-Time,Standard,No,2,63,5311,2
7,8,2.2,9,Laptop,Romance,Oceania,Delayed,Basic,Yes,8,28,7839,2
9,7,2.93,9,Tablet,Romance,South America,On-Time,Basic,No,10,47,1469,5
43,3,3.71,3,Tablet,Romance,Oceania,On-Time,Basic,No,4,23,1710,1
29,7,2.29,7,Mobile,Drama,South America,On-Time,Basic,No,7,18,7714,1
50,6,4.84,2,Smart TV,Drama,Europe,On-Time,Basic,No,7,19,7352,4
58,10,4.17,9,Tablet,Action,Asia,On-Time,Premium,No,4,37,8983,2
22,2,2.17,4,Mobile,Sci-fi,Africa,On-Time,Standard,Yes,5,70,4490,3
44,4,1.31,1,Tablet,Sci-fi,Oceania,On-Time,Basic,No,1,45,4252,3
17,8,1.19,9,Tablet,Romance,North America,On-Time,Basic,No,3,57,9739,5
8,7,3.72,7,Mobile,Action,North America,On-Time,Standard,No,7,66,2251,5
54,9,1.57,9,Smart TV,Comedy,Asia,On-Time,Premium,No,9,27,2470,1
38,9,2.17,10,Laptop,Sci-fi,North America,On-Time,Standard,No,6,58,9277,1
51,7,1.78,7,Smart TV,Sci-fi,Oceania,On-Time,Basic,No,4,52,8271,5
44,4,4.64,2,Smart TV,Sci-fi,Africa,On-Time,Basic,No,9,51,3110,3
29,1,1.15,3,Mobile,Sci-fi,Oceania,Delayed,Standard,No,2,20,2726,2
57,8,1.05,8,Mobile,Sci-fi,Africa,Delayed,Standard,No,10,40,7898,4
31,8,4.52,8,Tablet,Comedy,Oceania,On-Time,Basic,No,4,61,2394,5
28,9,3.5,8,Laptop,Action,Oceania,On-Time,Premium,No,1,60,5973,3
50,9,1.8,7,Tablet,Romance,Europe,On-Time,Basic,No,7,32,9836,4
25,9,5.21,10,Laptop,Sci-fi,Asia,On-Time,Basic,No,9,42,3388,4
35,10,1.35,10,Mobile,Action,Asia,Delayed,Standard,No,10,59,1804,5
19,8,1.12,10,Tablet,Drama,Africa,On-Time,Standard,No,0,69,7718,4
49,2,3.07,6,Tablet,Drama,South America,On-Time,Premium,No,0,18,1954,4
36,7,5.59,7,Laptop,Romance,Africa,On-Time,Basic,No,4,64,6089,5
44,7,4.86,7,Smart TV,Sci-fi,Africa,On-Time,Basic,No,1,49,1095,4
13,10,5.73,9,Laptop,Comedy,North America,On-Time,Basic,No,1,62,7265,1
24,1,3.55,1,Mobile,Drama,South America,On-Time,Standard,No,6,23,9366,4
19,9,4.57,10,Mobile,Romance,Africa,On-Time,Premium,No,6,38,9137,2
23,9,1.68,10,Smart TV,Comedy,Europe,On-Time,Basic,No,9,59,4459,4
22,9,3.54,9,Mobile,Drama,North America,Delayed,Basic,Yes,8,32,2946,5
45,8,1.97,10,Smart TV,Romance,Oceania,Delayed,Standard,No,3,63,9270,3
8,9,3.16,8,Smart TV,Comedy,Europe,On-Time,Standard,No,1,37,6179,2
52,1,2.21,4,Tablet,Sci-fi,Oceania,Delayed,Basic,No,7,33,5976,4
1,9,3.17,8,Mobile,Action,South America,On-Time,Premium,No,10,46,8734,1
42,2,5.93,3,Tablet,Drama,Oceania,On-Time,Basic,No,8,18,1158,1
12,7,2.5,9,Mobile,Drama,Oceania,On-Time,Basic,No,6,65,6781,2
60,9,4.16,8,Tablet,Drama,South America,On-Time,Premium,No,1,19,9275,4
45,6,3.77,2,Mobile,Action,Oceania,Delayed,Premium,No,6,57,5766,2
47,10,3.94,7,Mobile,Sci-fi,South America,Delayed,Standard,No,8,20,6311,3
41,4,4.82,5,Mobile,Sci-fi,South America,Delayed,Premium,No,3,20,6840,5
57,4,3.43,1,Tablet,Drama,North America,On-Time,Basic,No,5,48,3986,5
19,7,1.72,7,Smart TV,Sci-fi,South America,On-Time,Basic,No,1,65,2835,1
3,10,4.25,10,Smart TV,Drama,Africa,On-Time,Premium,No,2,44,7195,2
29,7,5.35,7,Smart TV,Drama,Asia,On-Time,Basic,No,6,38,6535,4
14,10,2.06,7,Tablet,Sci-fi,Africa,On-Time,Standard,No,3,64,4387,3
31,9,3.02,7,Smart TV,Sci-fi,South America,On-Time,Standard,No,3,64,8013,5
57,7,2.51,10,Mobile,Sci-fi,Oceania,Delayed,Basic,No,7,55,1425,4
8,7,5.93,10,Tablet,Action,Asia,Delayed,Standard,Yes,2,70,1687,3
31,10,1.13,9,Tablet,Drama,Europe,Delayed,Basic,No,6,34,8686,5
54,8,5.92,8,Tablet,Drama,Asia,Delayed,Basic,No,4,34,2939,2
3,7,2.97,9,Laptop,Romance,South America,Delayed,Premium,Yes,1,18,2852,5
21,10,3.93,9,Tablet,Sci-fi,Oceania,On-Time,Standard,No,4,33,5332,1
55,7,3.07,10,Smart TV,Romance,Europe,On-Time,Premium,No,9,19,5033,3
50,10,1.37,8,Tablet,Drama,Europe,On-Time,Standard,No,3,45,2625,3
30,9,5.0,7,Mobile,Sci-fi,Europe,On-Time,Standard,No,8,24,8826,3
52,10,4.24,9,Laptop,Action,Europe,Delayed,Basic,No,9,49,8269,2
51,3,4.12,2,Mobile,Drama,Europe,On-Time,Premium,No,9,66,2540,1
48,3,2.12,4,Laptop,Action,Asia,On-Time,Standard,No,0,53,8097,3
31,8,1.02,8,Smart TV,Comedy,Oceania,Delayed,Basic,No,4,53,5720,4
35,7,2.49,8,Laptop,Romance,North America,Delayed,Basic,No,7,54,4254,3
30,8,3.23,10,Smart TV,Sci-fi,Asia,On-Time,Basic,No,8,64,3618,5
26,2,2.6,4,Laptop,Romance,South America,Delayed,Basic,No,1,45,3035,4
20,9,5.94,7,Laptop,Action,Oceania,On-Time,Basic,No,3,53,8675,1
30,2,2.31,1,Mobile,Comedy,Oceania,On-Time,Basic,No,8,35,9827,4
29,6,3.07,4,Mobile,Romance,Oceania,On-Time,Basic,No,1,45,5966,5
29,3,4.87,4,Mobile,Sci-fi,Africa,Delayed,Basic,No,5,64,2881,3
44,9,2.24,7,Mobile,Drama,Oceania,On-Time,Basic,No,7,22,4014,3
36,9,2.62,7,Smart TV,Comedy,Oceania,Delayed,Basic,No,8,35,3751,4
21,10,2.79,7,Smart TV,Comedy,North America,On-Time,Basic,No,3,61,7135,3
11,8,4.95,9,Smart TV,Sci-fi,South America,On-Time,Basic,No,7,27,2778,1
17,8,4.92,9,Laptop,Romance,North America,On-Time,Basic,No,3,18,1107,4
34,8,3.89,8,Tablet,Sci-fi,Oceania,On-Time,Standard,No,0,40,9190,3
58,3,2.38,1,Smart TV,Sci-fi,South America,On-Time,Standard,No,4,54,8712,1
16,8,1.37,10,Mobile,Comedy,Asia,On-Time,Premium,No,5,41,4915,2
58,9,2.27,8,Mobile,Action,South America,On-Time,Basic,No,6,44,7352,4
16,4,2.08,5,Laptop,Sci-fi,Asia,On-Time,Basic,Yes,7,67,1536,2
1,7,1.99,9,Laptop,Comedy,Asia,On-Time,Standard,No,0,36,8382,5
57,2,4.3,3,Tablet,Sci-fi,Asia,Delayed,Standard,No,10,26,9596,3
59,10,3.6,9,Smart TV,Sci-fi,Europe,On-Time,Basic,No,2,63,3653,2
32,5,5.82,5,Laptop,Drama,North America,On-Time,Standard,No,2,52,2769,2
10,8,3.16,8,Mobile,Action,North America,On-Time,Basic,No,2,44,6851,2
34,8,2.15,9,Smart TV,Romance,Oceania,On-Time,Standard,No,5,26,4239,1
41,1,1.09,2,Laptop,Romance,Europe,On-Time,Premium,No,6,21,5838,2
6,10,1.9,9,Smart TV,Sci-fi,North America,Delayed,Standard,Yes,8,47,1454,2
57,1,4.38,4,Smart TV,Romance,South America,On-Time,Basic,No,6,68,5037,1
32,8,3.57,7,Mobile,Action,Africa,On-Time,Standard,No,2,44,6917,5
14,8,1.59,7,Tablet,Drama,Europe,On-Time,Basic,No,0,57,8798,4
53,7,3.47,10,Laptop,Comedy,Oceania,On-Time,Basic,No,9,37,7001,3
20,9,3.76,10,Tablet,Action,Europe,On-Time,Basic,No,10,19,1280,3
37,6,2.81,3,Tablet,Comedy,Europe,On-Time,Basic,No,5,30,2108,4
27,3,5.41,4,Tablet,Comedy,Asia,On-Time,Premium,No,9,30,6889,3
10,7,3.16,10,Mobile,Drama,North America,Delayed,Basic,Yes,10,59,1929,4
8,8,4.56,8,Tablet,Action,North America,Delayed,Standard,Yes,8,65,7492,5
17,9,1.43,10,Mobile,Drama,South America,Delayed,Basic,Yes,10,60,4703,5
15,10,3.22,7,Laptop,Sci-fi,Europe,On-Time,Basic,No,5,35,6120,2
54,8,3.55,8,Mobile,Drama,Oceania,On-Time,Basic,No,2,69,9885,4
28,7,4.31,10,Smart TV,Action,Oceania,On-Time,Basic,No,10,41,3274,3
60,4,4.34,4,Laptop,Romance,Oceania,On-Time,Standard,No,2,69,9242,5
33,7,1.15,7,Mobile,Romance,North America,Delayed,Basic,No,5,25,5153,3
6,2,4.48,2,Mobile,Action,North America,On-Time,Standard,No,1,19,2695,4
35,8,1.22,7,Smart TV,Comedy,Oceania,Delayed,Standard,No,7,52,6317,4
33,10,1.98,8,Mobile,Comedy,Europe,On-Time,Basic,No,1,35,1827,4
43,10,5.25,9,Tablet,Drama,South America,Delayed,Basic,No,10,63,9516,5
38,7,3.64,9,Mobile,Drama,North America,On-Time,Premium,No,8,20,5780,3
21,9,4.98,7,Mobile,Action,North America,On-Time,Standard,No,10,62,3322,4
10,3,5.36,4,Laptop,Sci-fi,Asia,Delayed,Basic,Yes,9,65,2294,4
25,9,5.64,8,Tablet,Sci-fi,South America,On-Time,Standard,No,6,46,7387,1
41,8,1.79,10,Mobile,Sci-fi,Oceania,On-Time,Premium,No,3,50,6737,3
33,10,5.74,7,Tablet,Sci-fi,Europe,On-Time,Basic,No,9,24,2872,3
39,7,4.92,9,Smart TV,Sci-fi,Oceania,On-Time,Standard,No,5,53,6256,2
22,3,2.21,3,Mobile,Sci-fi,North America,Delayed,Standard,Yes,0,49,9200,5
32,3,3.07,3,Tablet,Romance,Africa,On-Time,Premium,No,10,54,4017,2
36,4,4.45,2,Laptop,Comedy,Asia,On-Time,Standard,No,0,58,5061,5
8,10,5.58,7,Tablet,Sci-fi,Africa,Delayed,Standard,Yes,4,66,6780,1
10,10,3.38,9,Mobile,Action,Africa,On-Time,Basic,No,2,26,7409,1
1,1,4.2,4,Mobile,Action,Oceania,On-Time,Standard,No,9,50,2722,1
12,7,5.45,9,Smart TV,Romance,South America,On-Time,Premium,No,1,25,9020,3
17,7,1.83,7,Laptop,Romance,North America,Delayed,Premium,Yes,6,21,6172,5
25,8,4.08,10,Smart TV,Comedy,North America,Delayed,Premium,No,2,44,7962,2
16,6,1.47,1,Mobile,Action,North America,On-Time,Basic,Yes,0,37,6986,2
25,8,1.64,10,Tablet,Action,Europe,On-Time,Standard,No,6,35,7683,2
35,8,2.56,10,Tablet,Romance,South America,On-Time,Standard,No,6,69,7488,2
26,6,4.64,1,Smart TV,Comedy,North America,On-Time,Basic,No,5,50,8880,3
19,7,4.26,9,Tablet,Drama,Africa,On-Time,Standard,No,10,33,8211,5
60,7,1.95,10,Smart TV,Drama,South America,Delayed,Basic,No,9,54,3824,2
8,9,1.03,7,Smart TV,Romance,Oceania,On-Time,Standard,No,0,18,8482,4
58,10,3.93,8,Laptop,Sci-fi,Africa,On-Time,Basic,No,5,29,8071,2
43,10,2.06,7,Tablet,Sci-fi,South America,On-Time,Basic,No,4,62,3648,2
36,8,1.65,8,Tablet,Action,Asia,On-Time,Basic,No,1,39,3334,2
4,2,5.59,4,Mobile,Action,Oceania,On-Time,Premium,No,8,52,6280,2
40,8,5.42,9,Smart TV,Action,North America,On-Time,Premium,No,2,42,6482,4
2,2,5.17,6,Laptop,Comedy,South America,On-Time,Standard,No,1,48,1891,4
16,7,1.27,10,Smart TV,Action,South America,On-Time,Basic,No,6,41,6224,4
29,5,5.99,6,Tablet,Drama,Asia,On-Time,Basic,No,0,23,4202,3
44,7,1.26,10,Laptop,Action,Oceania,Delayed,Basic,No,4,40,1761,3
9,9,2.8,8,Smart TV,Sci-fi,Europe,Delayed,Standard,Yes,6,50,1885,1
39,8,1.13,8,Mobile,Comedy,Africa,Delayed,Premium,No,7,25,2170,5
54,8,5.39,10,Laptop,Drama,South America,Delayed,Basic,No,6,26,6219,4
10,3,2.87,6,Laptop,Action,North America,On-Time,Basic,No,6,32,3848,4
22,1,1.67,1,Tablet,Romance,Europe,On-Time,Standard,No,0,44,1857,4
32,10,2.3,7,Tablet,Action,North America,On-Time,Basic,No,7,23,1389,4
17,7,5.77,9,Tablet,Action,Europe,On-Time,Basic,No,3,55,9874,2
57,8,5.66,10,Tablet,Action,Oceania,On-Time,Standard,No,2,59,6496,2
44,7,4.55,7,Tablet,Action,Africa,On-Time,Basic,No,9,64,5781,5
28,7,4.16,9,Smart TV,Drama,Asia,On-Time,Basic,No,6,25,4058,2
13,5,3.79,5,Laptop,Sci-fi,South America,On-Time,Basic,No,7,36,3403,5
51,10,1.04,10,Laptop,Drama,South America,Delayed,Standard,No,5,23,8084,1
9,8,1.63,9,Tablet,Sci-fi,South America,On-Time,Premium,No,8,60,7957,2
19,9,2.54,10,Tablet,Sci-fi,Oceania,On-Time,Basic,No,2,61,7873,1
40,10,4.03,7,Smart TV,Comedy,Oceania,On-Time,Standard,No,8,33,5787,2
51,2,3.63,2,Laptop,Sci-fi,Asia,Delayed,Basic,No,8,57,4555,2
34,7,2.65,7,Tablet,Romance,South America,On-Time,Standard,No,8,49,2186,2
25,8,4.86,10,Tablet,Comedy,South America,On-Time,Premium,No,2,33,7477,3
8,2,2.7,2,Mobile,Action,Africa,On-Time,Standard,Yes,7,65,8916,4
3,10,3.35,9,Smart TV,Action,South America,On-Time,Standard,No,9,32,8713,3
47,8,2.15,8,Mobile,Drama,Asia,On-Time,Basic,No,1,22,7576,5
52,4,4.18,1,Mobile,Drama,Asia,Delayed,Standard,No,4,53,8012,2
44,5,1.77,1,Laptop,Action,Europe,On-Time,Premium,No,1,28,5319,1
22,4,5.69,6,Mobile,Sci-fi,Africa,On-Time,Standard,Yes,1,43,2404,1
28,3,1.3,2,Tablet,Drama,South America,Delayed,Standard,No,9,21,1760,3
5,7,5.42,7,Mobile,Comedy,Europe,On-Time,Standard,No,2,65,9953,4
29,10,1.16,7,Mobile,Drama,Europe,Delayed,Standard,No,5,37,7740,4
33,7,5.0,10,Tablet,Drama,South America,On-Time,Premium,No,0,50,8373,5
35,9,5.74,8,Mobile,Romance,South America,On-Time,Premium,No,9,61,9589,5
53,10,4.84,7,Laptop,Action,Europe,Delayed,Basic,No,1,61,9014,3
19,9,4.45,9,Mobile,Sci-fi,North America,On-Time,Basic,No,5,35,2399,1
24,9,4.27,7,Smart TV,Comedy,North America,On-Time,Basic,No,4,28,6635,1
47,4,2.11,1,Tablet,Sci-fi,Africa,On-Time,Basic,No,10,69,4701,3
37,9,3.76,8,Laptop,Sci-fi,South America,On-Time,Standard,No,5,37,3431,3
22,8,5.29,7,Tablet,Romance,South America,On-Time,Standard,No,5,36,6406,1
13,10,2.38,7,Laptop,Drama,Africa,Delayed,Basic,Yes,10,35,8608,4
18,9,1.41,7,Smart TV,Action,Asia,On-Time,Basic,No,4,36,4608,1
44,6,3.01,5,Laptop,Comedy,North America,Delayed,Basic,No,3,32,2075,3
59,1,2.4,5,Smart TV,Action,Europe,On-Time,Basic,No,6,56,9377,3
1,6,2.43,6,Mobile,Romance,Asia,On-Time,Basic,No,6,24,2420,3
11,10,3.7,7,Mobile,Romance,North America,On-Time,Standard,No,2,63,5719,2
48,2,2.05,3,Tablet,Sci-fi,South America,Delayed,Basic,No,3,58,4776,2
24,8,5.27,9,Mobile,Drama,Africa,Delayed,Premium,Yes,2,23,1810,5
59,3,3.54,6,Tablet,Sci-fi,North America,On-Time,Basic,No,10,37,8345,5
16,9,3.46,7,Laptop,Sci-fi,Africa,On-Time,Basic,No,0,18,1623,2
10,1,3.72,6,Mobile,Drama,Asia,On-Time,Basic,No,8,22,5733,3
18,9,5.87,9,Laptop,Romance,Africa,On-Time,Premium,No,2,32,7025,3
45,7,4.64,9,Mobile,Sci-fi,Asia,On-Time,Basic,No,10,34,6194,1
28,10,5.88,7,Laptop,Sci-fi,Asia,On-Time,Basic,No,2,66,1620,4
5,10,4.98,9,Tablet,Drama,Europe,On-Time,Basic,No,0,27,9535,1
29,7,1.41,7,Smart TV,Drama,Europe,On-Time,Basic,No,0,60,4768,1
3,9,2.71,9,Smart TV,Action,North America,On-Time,Premium,No,6,19,8922,4
58,7,3.62,8,Tablet,Drama,North America,Delayed,Standard,No,5,33,6326,2
57,10,3.0,9,Smart TV,Romance,North America,On-Time,Standard,No,7,37,7365,3
30,1,4.58,3,Mobile,Comedy,Africa,On-Time,Basic,No,5,35,8356,5
24,1,2.87,4,Tablet,Sci-fi,Asia,On-Time,Basic,No,8,54,1100,1
12,8,4.62,9,Smart TV,Drama,North America,On-Time,Standard,No,10,57,4211,1
17,7,3.53,10,Mobile,Romance,Asia,On-Time,Premium,No,2,19,7778,3
37,7,3.77,9,Tablet,Comedy,Oceania,On-Time,Standard,No,1,44,8920,2
59,8,5.44,9,Laptop,Drama,Asia,Delayed,Standard,No,8,45,8670,3
41,10,1.29,9,Mobile,Drama,Asia,Delayed,Basic,No,8,64,2111,4
52,4,1.13,2,Smart TV,Action,Europe,On-Time,Basic,No,0,58,5996,3
55,3,2.28,3,Mobile,Drama,Oceania,Delayed,Premium,No,4,30,7140,3
43,9,3.77,7,Mobile,Comedy,South America,On-Time,Basic,No,2,25,2149,5
48,9,1.65,7,Tablet,Drama,North America,On-Time,Basic,No,3,37,1766,1
50,1,1.38,3,Mobile,Comedy,Oceania,Delayed,Basic,No,8,56,8802,2
26,7,2.17,7,Smart TV,Sci-fi,South America,On-Time,Basic,No,1,26,8547,3
51,3,2.43,5,Tablet,Action,Asia,On-Time,Basic,No,5,33,2275,4
45,10,1.04,10,Mobile,Romance,Asia,On-Time,Basic,No,7,34,5462,2
3,5,4.63,6,Smart TV,Sci-fi,North America,On-Time,Standard,Yes,1,28,2312,1
4,8,3.33,8,Tablet,Comedy,Asia,On-Time,Standard,No,6,35,4359,5
22,9,4.18,10,Tablet,Romance,Asia,On-Time,Basic,No,0,55,5469,4
13,10,1.04,10,Mobile,Comedy,Africa,On-Time,Premium,No,4,18,6498,4
55,8,2.92,7,Laptop,Drama,Oceania,On-Time,Standard,No,3,46,7430,1
4,1,1.42,2,Tablet,Romance,Europe,On-Time,Standard,No,7,44,6669,2
23,8,4.82,9,Laptop,Action,Europe,On-Time,Premium,No,8,22,8445,3
12,10,5.31,7,Laptop,Comedy,Oceania,On-Time,Basic,No,8,24,9397,2
58,7,4.12,10,Tablet,Sci-fi,North America,Delayed,Premium,No,2,59,9060,5
34,10,4.96,8,Mobile,Drama,South America,On-Time,Basic,No,6,29,3100,4
32,9,2.54,7,Laptop,Drama,Africa,On-Time,Basic,No,6,58,5550,1
28,9,4.42,8,Smart TV,Action,North America,On-Time,Basic,No,9,65,7372,4
46,2,2.63,1,Smart TV,Comedy,Oceania,Delayed,Premium,No,0,31,1291,5
1,6,1.37,1,Laptop,Drama,North America,On-Time,Premium,No,2,68,2760,3
5,8,5.76,7,Tablet,Sci-fi,Africa,On-Time,Basic,No,2,48,2301,1
13,9,1.24,9,Smart TV,Sci-fi,Oceania,Delayed,Basic,Yes,10,21,7077,2
20,10,3.02,9,Tablet,Sci-fi,Oceania,On-Time,Basic,No,1,62,3233,1
48,7,1.23,7,Mobile,Sci-fi,Europe,On-Time,Standard,No,0,40,8215,1
57,10,2.05,9,Tablet,Sci-fi,Asia,On-Time,Standard,No,7,64,4460,5
10,4,5.7,1,Smart TV,Action,Europe,On-Time,Basic,Yes,9,53,5010,3
12,2,5.15,2,Mobile,Action,Oceania,On-Time,Standard,Yes,10,22,7037,1
37,8,1.44,8,Laptop,Sci-fi,Africa,On-Time,Standard,No,3,29,4668,5
52,9,2.06,8,Tablet,Sci-fi,Asia,On-Time,Standard,No,5,37,7880,5
44,7,5.23,8,Tablet,Sci-fi,Asia,On-Time,Premium,No,9,18,9858,4
43,1,2.6,5,Smart TV,Drama,Africa,On-Time,Basic,No,0,48,8291,3
31,6,2.22,3,Smart TV,Sci-fi,Africa,Delayed,Basic,No,6,53,2658,3
17,9,3.53,8,Laptop,Romance,Africa,On-Time,Basic,No,0,42,7308,4
25,8,4.15,8,Tablet,Action,Europe,On-Time,Standard,No,5,39,7806,1
53,9,2.97,7,Laptop,Comedy,Asia,Delayed,Premium,No,5,37,4591,5
7,8,5.46,8,Laptop,Action,South America,On-Time,Basic,No,1,54,7132,4
24,8,4.36,9,Laptop,Action,Asia,Delayed,Basic,Yes,9,26,3141,1
23,10,1.7,8,Laptop,Action,South America,Delayed,Basic,Yes,10,40,3862,4
48,9,2.34,10,Smart TV,Action,South America,On-Time,Basic,No,3,49,2624,2
9,8,3.37,9,Smart TV,Comedy,South America,Delayed,Basic,Yes,0,58,7885,3
30,7,5.45,9,Tablet,Sci-fi,Oceania,On-Time,Premium,No,6,52,4395,5
11,5,2.82,1,Tablet,Sci-fi,Africa,On-Time,Standard,No,1,48,5012,1
42,3,3.87,2,Tablet,Drama,Oceania,On-Time,Premium,No,7,70,3828,5
10,4,3.04,1,Smart TV,Drama,North America,On-Time,Basic,No,9,54,1524,5
51,4,2.51,6,Tablet,Drama,North America,Delayed,Standard,No,10,47,3054,1
6,2,3.29,3,Smart TV,Romance,Asia,On-Time,Basic,No,3,59,2540,4
49,2,4.39,1,Tablet,Drama,Africa,On-Time,Basic,No,1,66,2409,1
10,9,5.72,7,Smart TV,Action,North America,On-Time,Standard,No,10,19,5624,1
30,3,5.15,6,Smart TV,Romance,Africa,On-Time,Basic,No,4,26,6097,4
59,8,4.59,8,Smart TV,Romance,North America,On-Time,Standard,No,9,64,9393,3
2,10,5.67,8,Smart TV,Sci-fi,Africa,Delayed,Basic,Yes,1,63,4843,1
26,9,3.42,7,Mobile,Romance,South America,On-Time,Basic,No,3,32,3698,3
19,8,5.62,7,Laptop,Comedy,Africa,On-Time,Standard,No,1,18,5631,3
46,3,3.65,5,Tablet,Romance,Europe,Delayed,Standard,No,9,65,9004,2
60,6,3.31,6,Mobile,Drama,Asia,On-Time,Premium,No,4,23,9042,5
